iter	Logloss
0	0.6905972316
1	0.6880848409
2	0.6856107757
3	0.6831710607
4	0.6807704191
5	0.6784047355
6	0.6760737221
7	0.673776723
8	0.6715167359
9	0.6692896431
10	0.6670949405
11	0.6649373964
12	0.6628075784
13	0.6607137616
14	0.6586500352
15	0.6566177055
16	0.654616112
17	0.6526447679
18	0.6507028982
19	0.6487919634
20	0.6469093705
21	0.6450564807
22	0.6432291215
23	0.6414320712
24	0.6396577204
25	0.6379124368
26	0.6361922567
27	0.6345000014
28	0.6328299289
29	0.6311867183
30	0.6295681243
31	0.6279735014
32	0.6264007534
33	0.624850824
34	0.6233233954
35	0.6218195106
36	0.620331719
37	0.6188701734
38	0.6174288536
39	0.6160092498
40	0.6146054015
41	0.6132221366
42	0.6118588989
43	0.610513642
44	0.6091891671
45	0.6078799909
46	0.606587186
47	0.6053157196
48	0.6040562337
49	0.6028153445
50	0.6015926744
51	0.6003825213
52	0.5991895939
53	0.5980083093
54	0.596850648
55	0.5957163319
56	0.5945963606
57	0.5934903369
58	0.5923982606
59	0.5913199132
60	0.590255255
61	0.5892038291
62	0.5881657546
63	0.5871407534
64	0.5861286665
65	0.5851294741
66	0.584142759
67	0.5831685806
68	0.5822066412
69	0.5812569206
70	0.5803191806
71	0.5793932622
72	0.5784791455
73	0.5775764729
74	0.5766852245
75	0.5758052016
76	0.5749363646
77	0.5740784352
78	0.5732313141
79	0.5723949418
80	0.5715690995
81	0.5707535888
82	0.5699483499
83	0.5691532637
84	0.568368191
85	0.5675928737
86	0.5668273911
87	0.5660714651
88	0.5653250163
89	0.5645879453
90	0.5638599739
91	0.5631411418
92	0.5624313697
93	0.5617303794
94	0.5610380516
95	0.560354426
96	0.5596792643
97	0.5590124076
98	0.5583538557
99	0.5576998736
